added_at,name,artist,id,popularity,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,instrumentalness,key,time_signature,mode,duration_ms
2020-03-03T16:47:17Z,Saturdays (feat. HAIM),Twin Shadow,5ClqcvP4dYDDX6Zv3jPQD1,60,0.47,0.696,-4.749,0.104,0.0659,169.976,0.0962,0.802,3.85e-05,9,4,1,205442
2020-03-03T16:47:17Z,Saint,Blood Orange,2PzWUwFXApjQBZzKMl4Hd6,56,0.795,0.629,-8.704,0.0745,0.043,100.803,0.378,0.0667,0.000154,5,4,0,192010
2020-03-03T16:47:17Z,Everyone Acts Crazy Nowadays,Unknown Mortal Orchestra,6VPvz8SZWRFEoawyUTvQTt,51,0.816,0.755,-4.942,0.0828,0.473,120.008,0.178,0.735,2.66e-06,8,4,1,254973
2020-03-03T16:47:17Z,Less Is More,Choices,7MWJzAWFWT1ZSvf3D2dQrG,30,0.831,0.808,-5.002,0.0604,0.00635,121.994,0.203,0.49,0.314,2,4,1,314754
2020-03-03T16:47:17Z,Springtime,Ivana Parnasso,13FRCyzRG702n4PBpl0sot,2,0.792,0.577,-8.826,0.116,0.163,89.954,0.0476,0.695,0.0103,1,4,1,268412
2020-03-03T16:47:17Z,Opposite Side,Castlebed,3CMLUrl6JAwdhDwubP2Iz7,15,0.597,0.763,-8.888,0.0412,0.00172,99.992,0.106,0.251,0.872,2,4,1,225600
2020-03-03T16:47:17Z,Petals,TOPS,7EDzYP6nOwidhyMkrItbNa,54,0.822,0.706,-6.472,0.0387,0.193,128.707,0.129,0.895,0.00167,0,4,1,174536
2020-03-03T16:47:17Z,Darling,Real Estate,36PQh1G6h7n9VWB799fXpI,62,0.596,0.894,-5.407,0.0265,0.00878,132.994,0.104,0.572,0.00659,0,5,1,260387
2020-03-03T16:47:17Z,Queen,Perfume Genius,52WTLETEHs5jwCr7LCq0VW,55,0.418,0.547,-4.932,0.0295,0.211,131.99,0.187,0.13,0.0443,1,4,1,230720
2020-03-03T16:47:17Z,We Appreciate Power,Grimes,1RuWiwnl4QOjL1x2kJiOZG,59,0.54,0.926,-2.977,0.0525,0.0109,108.022,0.381,0.446,3.82e-05,2,4,0,335289
2020-03-03T16:47:17Z,Day Dreaming,Aretha Franklin,7L4G39PVgMfaeHRyi1ML7y,55,0.463,0.273,-15.364,0.074,0.907,146.426,0.101,0.293,0.000367,0,4,0,239960
2020-03-03T16:47:17Z,Door of the Cosmos,Sun Ra,32Lg670koSWkUZQ4ExgMzD,45,0.607,0.634,-8.313,0.0963,0.655,115.304,0.109,0.617,0.651,10,4,1,539720
2020-03-03T16:47:17Z,After Hours,The Weeknd,4ejyZ4uJEXUURcgKp1kP8v,91,0.663,0.567,-5.941,0.0309,0.0938,108.959,0.124,0.139,0.00978,5,4,0,361947
2020-03-03T16:47:17Z,Heart It Races - Cover Version,Dr. Dog,2vupkXhwL4sNCRgNu72HCZ,64,0.705,0.474,-13.081,0.0391,0.443,98.612,0.338,0.756,0.0553,10,4,1,233128
2020-03-03T16:47:17Z,Paper Cup,Real Estate,0fGseaY3EgFuCRYR8okcNi,51,0.546,0.756,-6.272,0.029,0.557,122.035,0.336,0.766,0.0494,9,4,1,270733
2020-03-03T16:47:17Z,Texas Sun,Khruangbin,3k5oLgungD1dSOGLqQdIQw,70,0.632,0.637,-10.011,0.0348,0.0352,111.551,0.0997,0.614,0.158,7,4,1,252812
2020-03-03T16:47:17Z,Kung Fu Fighting,Carl Douglas,40NRm1ZLvZpUSCUXAGGZ8J,67,0.598,0.673,-10.431,0.0693,0.0422,102.035,0.289,0.59,6.84e-05,2,4,1,197693
2020-03-03T16:47:17Z,Deus Me Dê Grana,Dead Combo,3ekmw2F2mv2FZzNa7TzTto,30,0.405,0.636,-10.462,0.0409,0.204,95.019,0.112,0.49,0.915,10,3,0,221499
2020-03-03T16:47:17Z,Lisboa Mulata,Dead Combo,7Dk2WPwsm6xqM326BWsJDR,19,0.349,0.755,-8.013,0.0413,0.206,159.683,0.291,0.855,0.242,9,4,0,262000
2020-03-03T16:47:17Z,Don’t Let Get You Down,Wajatta,0XvzfXYGaGTYH2LbVAD4G0,33,0.786,0.484,-10.619,0.0414,0.092,119.98,0.0884,0.295,0.848,8,4,1,276827
2020-03-03T16:47:17Z,Tonight,Wajatta,2zV74tleqm7QNASgGqEXPp,31,0.834,0.84,-6.717,0.057,0.437,123.975,0.0494,0.858,0.776,0,4,1,293347
2020-03-03T16:47:17Z,Silly Me,Yeasayer,4MbS4oNEbGOaiCi1rfZ2Pw,35,0.738,0.613,-6.295,0.0315,0.241,113.234,0.11,0.401,0.0,7,3,1,202773
2020-03-03T16:47:17Z,Everything Hits At Once,Spoon,7B6ikv2D6EoK1KfWvuJBLB,42,0.785,0.575,-8.105,0.0341,0.213,123.026,0.101,0.558,0.000144,9,4,1,244240
2020-03-03T16:47:17Z,Someday - triple j Like A Version,Julia Jacklin,2CxLla7i6lur02aOVMHPMK,53,0.567,0.235,-13.57,0.0322,0.454,81.678,0.0938,0.265,6.67e-06,11,4,1,264908
2020-03-03T16:47:17Z,ORCA,HANA,3zcKiJmqJbwuUXp7rzhkq0,31,0.657,0.723,-9.041,0.0317,0.211,126.068,0.124,0.128,0.729,2,4,1,209000
2020-03-03T16:47:17Z,Tropicalia,Beck,6rx6Ew1sday1KvsnD4HNdI,39,0.663,0.817,-6.938,0.0561,0.0464,81.549,0.131,0.784,0.000124,7,4,1,200307
2020-03-03T16:47:17Z,Suedehead - 2011 Remaster,Morrissey,76HJoPhDFxD7rizsbCmZND,50,0.529,0.989,-4.5,0.042,0.00126,142.29,0.0567,0.669,0.00148,2,4,1,235520
2020-03-03T16:47:17Z,Get Up (feat. Chamillionaire),Ciara,4PrquuUN34hswtM71OMvxS,67,0.941,0.631,-5.998,0.114,0.0366,128.597,0.0311,0.63,1.8e-06,1,4,0,263373
2020-03-03T16:47:17Z,Put It On Me,Ja Rule,0OvwzS8FX73Bw7ykMRmffU,63,0.831,0.79,-4.714,0.165,0.0024,93.14,0.0515,0.791,0.0,1,4,0,262827
2020-03-03T16:47:17Z,Lean On,Major Lazer,1Lim1Py7xBgbAkAys3AGAG,72,0.723,0.809,-3.081,0.0625,0.00346,98.007,0.565,0.274,0.00123,7,4,0,176561
2020-03-03T16:47:17Z,Final Song,MØ,4qqArAiTPueDxIp7cf87h7,69,0.695,0.672,-6.109,0.0345,0.014,104.988,0.0756,0.245,8.44e-05,1,4,0,235827
2020-03-03T16:47:17Z,Over,Tove Lo,3Fvk2XIJXWlt5KLIQiodAY,36,0.607,0.61,-5.628,0.0371,0.0462,156.988,0.09,0.388,0.0,0,4,1,224187
2020-03-03T16:47:17Z,Just Like Honey,The Jesus and Mary Chain,1LwP9g1Hjbs64jXM2Qsxry,61,0.341,0.552,-10.503,0.0423,8.02e-05,121.361,0.0591,0.486,0.616,8,4,1,182493
2020-03-03T16:47:17Z,I Keep Running,Commodores,2G9cBDzvP5cQdSFRGVBbf0,23,0.69,0.84,-8.819,0.0281,0.327,137.028,0.073,0.804,2.05e-06,9,4,0,252813
2020-03-03T16:47:17Z,"Baby, Come To Me",Patti Austin,03Wma4AcL2NXi0HPqhKJ1v,61,0.631,0.503,-12.083,0.0766,0.551,90.205,0.137,0.699,0.0,7,4,0,215387
2020-03-03T16:47:17Z,Goodmorning,Bleachers,1K13OsIMc0HLgEJHZoWH78,58,0.65,0.448,-9.534,0.0929,0.577,79.989,0.131,0.511,0.0,2,4,1,193413
2020-03-03T16:47:17Z,Sad Dream,Sky Ferreira,3hnlbzC6h0GxLfVmxAG4gA,44,0.674,0.46,-11.55,0.0292,0.647,116.058,0.114,0.314,1.02e-05,0,4,1,215867
2020-03-03T16:47:17Z,Sober,Lorde,0PXCdhnm9fRgrIgoMcteZa,56,0.796,0.467,-10.369,0.181,0.173,107.901,0.126,0.516,0.00411,6,4,1,197236
2020-02-18T16:07:59Z,Wakin on a Pretty Day,Kurt Vile,3cSlU4ZH4wzb5pM7wI1k3f,58,0.379,0.782,-8.163,0.0358,0.0472,101.698,0.265,0.549,0.748,11,4,1,570733
2020-02-18T16:07:59Z,Schism,TOOL,55mJleti2WfWEFNFcBduhc,67,0.567,0.714,-8.512,0.0302,0.0012,107.438,0.186,0.191,0.42,9,3,0,403533
2020-02-18T16:07:59Z,Shallow,Lady Gaga,2VxeLyX666F8uXCJ0dZF8B,86,0.572,0.385,-6.362,0.0308,0.371,95.799,0.231,0.323,0.0,7,4,1,215733
2020-02-18T16:07:59Z,Carry the Zero,Built To Spill,3HMOMdRPywfouYx5B4PvaH,55,0.264,0.812,-5.651,0.031,1.35e-05,94.095,0.0962,0.458,0.108,4,4,1,343893
2020-02-18T16:07:59Z,Necessary Evil,Unknown Mortal Orchestra,4dhARBZ8YLvm8oRDnCIeXr,61,0.828,0.724,-7.217,0.113,0.045,96.2,0.132,0.694,0.0618,9,4,1,317800
2020-02-18T16:07:59Z,Silver,Caribou,5xVZk4Vt12ViVyoircV9iP,48,0.612,0.607,-8.637,0.0396,0.141,79.975,0.104,0.661,0.167,1,4,0,316653
2020-02-18T16:07:59Z,Take It Easy (Ever After Lasting Love),White Denim,03pRnmoWR9IVKkIR73iGIG,44,0.591,0.453,-11.467,0.0369,0.728,98.943,0.142,0.397,0.0395,4,4,1,207107
2020-02-18T16:07:59Z,Here We Go,Lawrence Blatt,6PypihFxXKVBC5tnwPXqjE,0,0.429,0.436,-14.962,0.0303,0.806,159.299,0.121,0.648,0.811,5,4,1,211213
2020-02-18T16:07:59Z,The Girl From Notradamascus,Hill Briggs,1IXcHvT9uiRXzx9rE8PJ7G,0,0.577,0.691,-8.272,0.0296,0.0816,160.011,0.15,0.868,0.27,7,4,1,267886
2020-02-18T16:07:59Z,Spring Of Life,Avishai,0oyRQCMlIk692GWaE23At8,0,0.552,0.333,-14.625,0.039,0.879,112.985,0.326,0.134,0.065,8,4,1,613427
2020-02-18T16:07:59Z,Shallow,Beach Fossils,6X09R7ItzXOiS1hoWWbYKl,39,0.258,0.98,-4.384,0.0469,0.000487,167.978,0.214,0.711,0.786,4,4,1,197454
2020-02-18T16:07:59Z,Lady Grinning Soul - 2013 Remaster,David Bowie,3ZFurUI2qESabUHHyIlxa8,49,0.373,0.56,-8.419,0.0394,0.0326,93.208,0.0795,0.167,0.000166,4,4,1,235255
2020-02-18T16:07:59Z,Lady Grinning Soul - 2003 Remaster,David Bowie,67AVuwVXC5DU8ZbVfiDP3f,22,0.36,0.438,-11.919,0.0404,0.0186,96.454,0.0862,0.161,4.88e-05,4,4,1,232400
2020-02-18T16:07:59Z,hope is a dangerous thing for a woman like me to have - but I have it,Lana Del Rey,0fB77VOZ2FkQeKLv1DuEwp,71,0.461,0.102,-13.05,0.0897,0.967,71.835,0.164,0.259,2.1e-06,7,4,1,324499
